idLieu;idVille
1;11
2;11
4;11
5;11
20;11
15;11
12;11
13;11
14;11
10;11
17;11
19;11
33;11
34;11
37;11
35;3
21;4
18;8
6;12
24;12
9;14
11;14
22;14
38;14
30;16
31;16
8;17
3;18
7;2
23;1
32;5
26;6
16;7
27;7
25;9
28;10
29;13
36;15
